"year","code_ape_a732","aggregate","fpt","accuracy_fpt","unit","libelle_ape_a732"
"2022","49.31Z","GVA",239,2.2,"GCO2E_EUR","Transports urbains et suburbains de voyageurs"
"2022","49.31Z","IC",140,2.2,"GCO2E_EUR","Transports urbains et suburbains de voyageurs"
"2022","49.31Z","PRD",193,2.2,"GCO2E_EUR","Transports urbains et suburbains de voyageurs"
"2022","49.32Z","GVA",239,2.2,"GCO2E_EUR","Transports de voyageurs par taxis"
"2022","49.32Z","PRD",193,2.2,"GCO2E_EUR","Transports de voyageurs par taxis"
"2022","49.32Z","IC",140,2.2,"GCO2E_EUR","Transports de voyageurs par taxis"
"2022","49.39A","GVA",239,2.2,"GCO2E_EUR","Transports routiers réguliers de voyageurs"
"2022","49.39A","IC",140,2.2,"GCO2E_EUR","Transports routiers réguliers de voyageurs"
"2022","49.39A","PRD",193,2.2,"GCO2E_EUR","Transports routiers réguliers de voyageurs"
"2022","49.39B","IC",140,2.2,"GCO2E_EUR","Autres transports routiers de voyageurs"
"2022","49.39B","GVA",239,2.2,"GCO2E_EUR","Autres transports routiers de voyageurs"
"2022","49.39B","PRD",193,2.2,"GCO2E_EUR","Autres transports routiers de voyageurs"
"2022","49.39C","PRD",177,2.6,"GCO2E_EUR","Téléphériques et remontées mécaniques"
"2022","49.39C","GVA",219,2.6,"GCO2E_EUR","Téléphériques et remontées mécaniques"
"2022","49.39C","IC",149,2.6,"GCO2E_EUR","Téléphériques et remontées mécaniques"
"2022","49.41A","IC",147,2.2,"GCO2E_EUR","Transports routiers de fret interurbains"
"2022","49.41A","PRD",225,2.2,"GCO2E_EUR","Transports routiers de fret interurbains"
"2022","49.41A","GVA",302,2.2,"GCO2E_EUR","Transports routiers de fret interurbains"
"2022","49.41B","GVA",302,2.2,"GCO2E_EUR","Transports routiers de fret de proximité"
"2022","49.41B","IC",147,2.2,"GCO2E_EUR","Transports routiers de fret de proximité"
"2022","49.41B","PRD",225,2.2,"GCO2E_EUR","Transports routiers de fret de proximité"
"2022","49.41C","PRD",225,2.2,"GCO2E_EUR","Location de camions avec chauffeur"
"2022","49.41C","IC",147,2.2,"GCO2E_EUR","Location de camions avec chauffeur"
"2022","49.41C","GVA",302,2.2,"GCO2E_EUR","Location de camions avec chauffeur"
"2022","49.42Z","IC",147,2.2,"GCO2E_EUR","Services de déménagement"
"2022","49.42Z","GVA",302,2.2,"GCO2E_EUR","Services de déménagement"
"2022","49.42Z","PRD",225,2.2,"GCO2E_EUR","Services de déménagement"
